ijk,1024,6,dynamic,64,0,0.929700,4.984375,2309.87,0.8935
ijk,1024,6,dynamic,64,1,0.934808,4.937500,2297.24,0.8803
ijk,1024,6,dynamic,64,2,0.850450,4.484375,2525.12,0.8788
ijk,1024,6,dynamic,64,3,0.849306,4.406250,2528.52,0.8647
ijk,1024,6,dynamic,64,4,0.837656,4.359375,2563.68,0.8674
ikj,1024,6,dynamic,64,0,0.055580,0.312500,38637.84,0.9371
ikj,1024,6,dynamic,64,1,0.075200,0.359375,28556.89,0.7965
ikj,1024,6,dynamic,64,2,0.063388,0.328125,33878.29,0.8627
ikj,1024,6,dynamic,64,3,0.067107,0.312500,32000.75,0.7761
ikj,1024,6,dynamic,64,4,0.068821,0.343750,31203.72,0.8325
ijk,1024,6,static,16,0,0.890811,5.078125,2410.71,0.9501
ijk,1024,6,static,16,1,0.875110,4.984375,2453.96,0.9493
ijk,1024,6,static,16,2,0.795749,4.593750,2698.69,0.9621
ijk,1024,6,static,16,3,0.808406,4.546875,2656.44,0.9374
ijk,1024,6,static,16,4,0.801141,4.562500,2680.53,0.9492
ikj,1024,6,static,16,0,0.065090,0.343750,32992.43,0.8802
ikj,1024,6,static,16,1,0.060208,0.328125,35667.75,0.9083
ikj,1024,6,static,16,2,0.054398,0.265625,39477.47,0.8138
ikj,1024,6,static,16,3,0.072952,0.406250,29436.94,0.9281
ikj,1024,6,static,16,4,0.065969,0.343750,32552.72,0.8685
ijk,1024,12,dynamic,16,0,0.467767,4.781250,4590.92,0.8518
ijk,1024,12,dynamic,16,1,0.460671,4.796875,4661.64,0.8677
ijk,1024,12,dynamic,16,2,0.467040,4.703125,4598.07,0.8392
ijk,1024,12,dynamic,16,3,0.452601,4.687500,4744.76,0.8631
ijk,1024,12,dynamic,16,4,0.464604,4.500000,4622.18,0.8071
ikj,1024,12,dynamic,16,0,0.044963,0.421875,47760.92,0.7819
ikj,1024,12,dynamic,16,1,0.044144,0.468750,48647.35,0.8849
ikj,1024,12,dynamic,16,2,0.043694,0.484375,49148.03,0.9238
