versao,n,threads,sched,chunk,rep,tempo_s,cpu_s,mflops,util
ijk,1024,1,static,0,0,4.959222,4.921875,433.03,0.9925
ijk,1024,1,static,0,1,4.934801,4.937500,435.17,1.0005
ijk,1024,1,static,0,2,4.921910,4.890625,436.31,0.9936
ijk,1024,1,static,0,3,4.925331,4.937500,436.01,1.0025
ijk,1024,1,static,0,4,4.928537,4.921875,435.72,0.9986
ikj,1024,1,static,0,0,0.244069,0.250000,8798.68,1.0243
ikj,1024,1,static,0,1,0.226712,0.218750,9472.28,0.9649
ikj,1024,1,static,0,2,0.237068,0.234375,9058.50,0.9886
ikj,1024,1,static,0,3,0.214807,0.218750,9997.26,1.0184
ikj,1024,1,static,0,4,0.224295,0.218750,9574.38,0.9753
ijk,1024,3,static,0,0,1.787898,5.218750,1201.12,0.9730
ijk,1024,3,static,0,1,1.746664,4.984375,1229.48,0.9512
ijk,1024,3,static,0,2,1.754162,5.015625,1224.22,0.9531
ijk,1024,3,static,0,3,1.683200,5.000000,1275.83,0.9902
ijk,1024,3,static,0,4,1.764264,5.078125,1217.21,0.9594
ikj,1024,3,static,0,0,0.124212,0.343750,17288.90,0.9225
ikj,1024,3,static,0,1,0.123350,0.312500,17409.66,0.8445
ikj,1024,3,static,0,2,0.119531,0.296875,17965.90,0.8279
ikj,1024,3,static,0,3,0.140415,0.375000,15293.82,0.8902
ikj,1024,3,static,0,4,0.118780,0.343750,18079.47,0.9647
ijk,1024,6,static,0,0,0.870722,5.000000,2466.33,0.9571
ijk,1024,6,static,0,1,0.867539,5.000000,2475.37,0.9606
ijk,1024,6,static,0,2,0.841172,4.984375,2552.97,0.9876
ijk,1024,6,static,0,3,0.886948,5.000000,2421.20,0.9396
ijk,1024,6,static,0,4,0.824668,4.859375,2604.06,0.9821
ikj,1024,6,static,0,0,0.066604,0.375000,32242.76,0.9384
ikj,1024,6,static,0,1,0.072076,0.375000,29794.92,0.8671
ikj,1024,6,static,0,2,0.069781,0.343750,30774.66,0.8210
ikj,1024,6,static,0,3,0.063247,0.312500,33954.19,0.8235
ikj,1024,6,static,0,4,0.072630,0.453125,29567.49,1.0398
ijk,1024,2,static,0,0,2.279159,4.546875,942.23,0.9975
ijk,1024,2,static,0,1,2.199604,4.406250,976.30,1.0016
ijk,1024,2,static,0,2,2.200229,4.375000,976.03,0.9942
ijk,1024,2,static,0,3,2.186253,4.343750,982.27,0.9934
ijk,1024,2,static,0,4,2.181246,4.296875,984.52,0.9850
ikj,1024,2,static,0,0,0.133449,0.281250,16092.19,1.0538
ikj,1024,2,static,0,1,0.170434,0.343750,12600.06,1.0085
ikj,1024,2,static,0,2,0.143798,0.281250,14934.01,0.9779
ikj,1024,2,static,0,3,0.161086,0.312500,13331.27,0.9700
ikj,1024,2,static,0,4,0.191439,0.375000,11217.56,0.9794
ijk,1024,4,static,0,0,1.332362,5.265625,1611.79,0.9880
ijk,1024,4,static,0,1,1.225659,4.781250,1752.11,0.9752
ijk,1024,4,static,0,2,1.163131,4.578125,1846.30,0.9840
ijk,1024,4,static,0,3,1.211254,4.687500,1772.94,0.9675
ijk,1024,4,static,0,4,1.190989,4.718750,1803.11,0.9905
ikj,1024,4,static,0,0,0.107261,0.375000,20021.05,0.8740
ikj,1024,4,static,0,1,0.076357,0.296875,28124.40,0.9720
ikj,1024,4,static,0,2,0.088597,0.343750,24238.68,0.9700
ikj,1024,4,static,0,3,0.098234,0.359375,21860.92,0.9146
ikj,1024,4,static,0,4,0.081111,0.312500,26475.76,0.9632
ijk,1024,1,static,0,0,5.227858,5.234375,410.78,1.0012
ijk,1024,1,static,0,1,5.183689,5.171875,414.28,0.9977
ijk,1024,1,static,0,2,5.193472,5.140625,413.50,0.9898
ijk,1024,1,static,0,3,5.187443,5.156250,413.98,0.9940
ijk,1024,1,static,0,4,5.159942,5.156250,416.18,0.9993
ikj,1024,1,static,0,0,0.212798,0.218750,10091.65,1.0280
ikj,1024,1,static,0,1,0.220446,0.203125,9741.53,0.9214
ikj,1024,1,static,0,2,0.226016,0.218750,9501.48,0.9679
ikj,1024,1,static,0,3,0.223470,0.234375,9609.70,1.0488
ikj,1024,1,static,0,4,0.224300,0.218750,9574.18,0.9753
ijk,1024,16,static,0,0,0.460239,4.453125,4666.02,0.6047
ijk,1024,16,static,0,1,0.460401,4.718750,4664.37,0.6406
ijk,1024,16,static,0,2,0.468747,4.515625,4581.33,0.6021
ijk,1024,16,static,0,3,0.481767,4.562500,4457.52,0.5919
ijk,1024,16,static,0,4,0.503863,4.468750,4262.04,0.5543
ikj,1024,16,static,0,0,0.044966,0.359375,47758.37,0.4995
ikj,1024,16,static,0,1,0.042784,0.312500,50193.62,0.4565
ikj,1024,16,static,0,2,0.042100,0.468750,51008.63,0.6959
ikj,1024,16,static,0,3,0.045280,0.406250,47426.34,0.5607
ikj,1024,16,static,0,4,0.044525,0.343750,48230.64,0.4825
ijk,1024,12,static,0,0,0.511479,4.968750,4198.58,0.8095
ijk,1024,12,static,0,1,0.498192,5.046875,4310.56,0.8442
ijk,1024,12,static,0,2,0.492674,4.984375,4358.83,0.8431
ijk,1024,12,static,0,3,0.479069,4.812500,4482.62,0.8371
ijk,1024,12,static,0,4,0.489508,5.031250,4387.03,0.8565
ikj,1024,12,static,0,0,0.043450,0.515625,49424.59,0.9889
ikj,1024,12,static,0,1,0.041203,0.437500,52119.85,0.8849
ikj,1024,12,static,0,2,0.039452,0.359375,54433.37,0.7591
ikj,1024,12,static,0,3,0.042087,0.515625,51024.38,1.0209
ikj,1024,12,static,0,4,0.044562,0.390625,48190.81,0.7305
ijk,1024,1,seq,0,0,5.548186,5.515625,387.06,0.9941
ijk,1024,1,seq,0,1,5.518347,5.531250,389.15,1.0023
ijk,1024,1,seq,0,2,5.510559,5.500000,389.70,0.9981
ijk,1024,1,seq,0,3,5.476118,5.437500,392.15,0.9929
ijk,1024,1,seq,0,4,5.517602,5.500000,389.21,0.9968
ikj,1024,1,seq,0,0,0.191549,0.187500,11211.16,0.9789
ikj,1024,1,seq,0,1,0.186543,0.187500,11511.98,1.0051
ikj,1024,1,seq,0,2,0.192968,0.187500,11128.71,0.9717
ikj,1024,1,seq,0,3,0.202490,0.203125,10605.38,1.0031
ikj,1024,1,seq,0,4,0.191185,0.203125,11232.51,1.0625
ijk,1024,8,static,0,0,0.592575,4.671875,3623.99,0.9855
ijk,1024,8,static,0,1,0.590992,4.578125,3633.69,0.9683
ijk,1024,8,static,0,2,0.584888,4.578125,3671.62,0.9784
ijk,1024,8,static,0,3,0.579148,4.609375,3708.01,0.9949
ijk,1024,8,static,0,4,0.571537,4.562500,3757.39,0.9979
ikj,1024,8,static,0,0,0.054179,0.390625,39636.90,0.9012
ikj,1024,8,static,0,1,0.050692,0.343750,42363.45,0.8476
ikj,1024,8,static,0,2,0.053917,0.343750,39829.58,0.7969
ikj,1024,8,static,0,3,0.053247,0.406250,40330.38,0.9537
ikj,1024,8,static,0,4,0.051990,0.343750,41305.94,0.8265
ijk,1024,24,static,0,0,0.446557,4.359375,4808.98,0.4068
ijk,1024,24,static,0,1,0.442470,4.531250,4853.40,0.4267
ijk,1024,24,static,0,2,0.426371,4.593750,5036.66,0.4489
ijk,1024,24,static,0,3,0.452110,4.718750,4749.92,0.4349
ijk,1024,24,static,0,4,0.456837,4.625000,4700.77,0.4218
ikj,1024,24,static,0,0,0.037801,0.515625,56809.93,0.5684
ikj,1024,24,static,0,1,0.037415,0.343750,57396.64,0.3828
ikj,1024,24,static,0,2,0.039378,0.375000,54534.56,0.3968
ikj,1024,24,static,0,3,0.040905,0.359375,52499.29,0.3661
ikj,1024,24,static,0,4,0.039996,0.468750,53692.19,0.4883
