ijk,1024,12,static,0,0,0.447419,4.125000,4799.72,0.7683
ijk,1024,12,static,0,1,0.433270,4.234375,4956.45,0.8144
ijk,1024,12,static,0,2,0.423174,4.468750,5074.71,0.8800
ijk,1024,12,static,0,3,0.467700,4.421875,4591.59,0.7879
ijk,1024,12,static,0,4,0.450001,4.453125,4772.18,0.8247
ikj,1024,12,static,0,0,0.039525,0.421875,54331.74,0.8895
ikj,1024,12,static,0,1,0.046763,0.375000,45922.22,0.6683
ikj,1024,12,static,0,2,0.064137,0.343750,33482.97,0.4466
ikj,1024,12,static,0,3,0.050989,0.312500,42116.69,0.5107
ikj,1024,12,static,0,4,0.041117,0.375000,52228.61,0.7600
ijk,128,1,seq,0,0,0.002234,0.000000,1877.65,0.0000
ijk,128,1,seq,0,1,0.002212,0.015625,1896.33,7.0644
ijk,128,1,seq,0,2,0.002206,0.000000,1901.75,0.0000
ijk,128,1,seq,0,3,0.002200,0.000000,1906.33,0.0000
ijk,128,1,seq,0,4,0.002162,0.000000,1940.01,0.0000
ijk,128,1,seq,0,5,0.002212,0.000000,1895.82,0.0000
ijk,128,1,seq,0,6,0.002203,0.000000,1903.65,0.0000
ijk,128,1,seq,0,7,0.002178,0.000000,1926.02,0.0000
ijk,128,1,seq,0,8,0.002240,0.015625,1872.12,6.9742
ijk,128,1,seq,0,9,0.002152,0.000000,1948.84,0.0000
ijk,128,1,seq,0,10,0.002131,0.000000,1968.42,0.0000
ijk,128,1,seq,0,11,0.002175,0.000000,1928.68,0.0000
ijk,128,1,seq,0,12,0.002134,0.000000,1965.10,0.0000
ijk,128,1,seq,0,13,0.002188,0.000000,1916.70,0.0000
ijk,128,1,seq,0,14,0.002212,0.000000,1896.07,0.0000
ijk,128,1,seq,0,15,0.002238,0.015625,1874.21,6.9820
ijk,128,1,seq,0,16,0.002113,0.000000,1985.38,0.0000
ijk,128,1,seq,0,17,0.002087,0.000000,2009.54,0.0000
ijk,128,1,seq,0,18,0.002238,0.000000,1874.38,0.0000
ijk,128,1,seq,0,19,0.002115,0.000000,1983.31,0.0000
ikj,128,1,seq,0,0,0.000297,0.000000,14141.28,0.0000
ikj,128,1,seq,0,1,0.000293,0.000000,14324.81,0.0000
ikj,128,1,seq,0,2,0.000289,0.000000,14513.16,0.0000
ikj,128,1,seq,0,3,0.000289,0.000000,14528.24,0.0000
ikj,128,1,seq,0,4,0.000289,0.000000,14528.24,0.0000
ikj,128,1,seq,0,5,0.000288,0.000000,14538.32,0.0000
ikj,128,1,seq,0,6,0.000288,0.000000,14543.36,0.0000
ikj,128,1,seq,0,7,0.000295,0.000000,14227.63,0.0000
ikj,128,1,seq,0,8,0.000288,0.000000,14548.40,0.0000
ikj,128,1,seq,0,9,0.000288,0.000000,14543.36,0.0000
ikj,128,1,seq,0,10,0.000289,0.000000,14523.21,0.0000
ikj,128,1,seq,0,11,0.000288,0.000000,14568.61,0.0000
ikj,128,1,seq,0,12,0.000324,0.000000,12961.38,0.0000
ikj,128,1,seq,0,13,0.000295,0.000000,14198.73,0.0000
