versao,threads,tempo_med,tempo_mediana,tempo_dp,tempo_min,cpu_med,mflops,util,amostras,cv_pct,speedup,speedup_vs_1t,eficiencia,karp_flatt,mflops_por_thread,nucleo_segundos
ijk,1,5.0622205000000005,5.059582,0.13654017316628025,4.92191,5.046875,424.605,0.9981500000000001,10,2.6972387545402308,1.1000527316288182,1.0,1.1000527316288182,,424.605,5.046875
ijk,2,2.4609528000000003,2.4575915,0.2730406521066865,2.181246,4.8875,878.45,0.9938,10,11.094916249782868,2.264740498980404,2.0587563067336454,1.132370249490202,-0.11689661535155627,439.225,4.8875
ijk,3,2.0501302,2.0433355,0.3210345996693262,1.6832,6.00625,1067.655,0.97645,10,15.659229822053556,2.7238830823425717,2.47613864683504,0.9079610274475239,0.05068442905045042,355.885,6.00625
ijk,4,1.3282692,1.3526015,0.12653861828513507,1.163131,5.2171875,1588.025,0.9809,10,9.526579272118564,4.114890453692384,3.740630185608991,1.028722613423096,-0.00930688637484789,397.00625,5.2171875
ijk,6,0.837057,0.846271,0.0382763581165537,0.77996,4.86875,2537.68,0.9753000000000001,10,4.572730186421438,6.576861312747335,5.9786782248239625,1.0961435521245557,-0.017542146179341078,422.94666666666666,4.86875
ijk,8,0.593854,0.5917835,0.014806614437848736,0.571537,4.64375,3628.84,0.9819500000000001,10,2.493308866800381,9.405140562384723,8.549717928938538,1.1756425702980904,-0.021343047955900314,453.605,4.64375
ijk,12,0.4764298,0.4730415,0.02099325705395268,0.450226,4.75,4540.475,0.8401,10,4.406369428182846,11.766001503039373,10.695852266661593,0.9805001252532811,0.001807971095982711,378.3729166666667,4.75
ijk,16,0.4548206,0.45500399999999996,0.027278776170821507,0.405552,4.45,4720.33,0.6071500000000001,10,5.997700229677703,12.23243531924994,11.119862682525868,0.7645272074531213,0.020533194916747915,295.020625,4.45
ijk,24,0.44849069999999996,0.4493335,0.011189925856670271,0.426371,4.596875,4779.45,0.4255,10,2.49501848236101,12.386806236347834,11.260193152747346,0.516116926514493,0.04076284543010252,199.14374999999998,4.596875
ikj,1,0.2253981,0.22429749999999998,0.00936004892496711,0.212798,0.2234375,9574.279999999999,0.98195,10,4.1526742794048,0.907337353291945,1.0,0.907337353291945,,9574.279999999999,0.2234375
ikj,2,0.1759487,0.172676,0.026475590003078513,0.133449,0.3484375,12438.575,0.98585,10,15.047334821501103,1.1785859065533137,1.298950056753689,0.5892929532766569,0.6969488510590207,6219.2875,0.3484375
ikj,3,0.13269979999999998,0.1308115,0.011887867763209508,0.11878,0.3609375,16445.985,0.91965,10,8.958466978254307,1.5557768239030974,1.714661937215,0.5185922746343657,0.4641485699965849,5481.995,0.3609375
ikj,4,0.0954594,0.09841849999999999,0.010178104519015315,0.076357,0.359375,21819.949999999997,0.957,10,10.66223391202471,2.0678378556877015,2.2790176643618834,0.5169594639219254,0.3114625483485533,5454.987499999999,0.359375
ikj,6,0.0656869,0.0653185,0.005411602236553114,0.055905,0.3390625,32889.895,0.84245,10,8.238480178777067,3.11570994434961,3.4339046365118606,0.519284990724935,0.18514496581307877,5481.649166666666,0.3390625
ikj,8,0.051818699999999995,0.051207,0.0014567258607347281,0.050036,0.3703125,41937.0,0.8744000000000001,10,2.8111972333052124,3.974329681488859,4.380211689808034,0.4967912101861074,0.1447025802781072,5242.125,0.3703125
ikj,12,0.0418923,0.041645,0.0020803988960453393,0.039146,0.4625,51572.115,0.9296,10,4.966065114699693,4.886865169888342,5.385940689158362,0.4072387641573618,0.13232381054908798,4297.6762499999995,0.4625
ikj,16,0.0431336,0.043505,0.0022892394758473344,0.039525,0.3859375,49375.275,0.55095,10,5.307323005377095,4.677933570853925,5.155671761866452,0.29237084817837034,0.16135424267513784,3085.9546875,0.3859375
ikj,24,0.041149000000000005,0.0414755,0.002457273647312766,0.037415,0.4015625,51786.775,0.3898,10,5.971648514697237,4.906836566165568,5.407951682318477,0.204451523590232,0.1691797820057018,2157.782291666667,0.4015625
