versao,threads,config,tempo_med,tempo_mediana,tempo_dp,tempo_min,cpu_med,mflops,util,amostras,cv_pct
ijk,6,"dynamic,1",0.8095468,0.813442,0.023956192689527683,0.765981,4.7609375,2640.295,0.9822500000000001,10,2.9592103494853768
ijk,6,"dynamic,16",0.8711892000000001,0.8646035000000001,0.01920820212999297,0.85089,4.825,2483.8,0.92975,10,2.2048255568357558
ijk,6,"dynamic,64",0.9156061,0.939832,0.04893794627087568,0.837656,4.8171875,2285.0299999999997,0.8787,10,5.34486896394374
ijk,6,"guided,16",0.7991816,0.7931045000000001,0.016164585015122093,0.784673,4.659375,2707.71,0.9764999999999999,10,2.0226422899528833
ijk,6,"guided,padrão",0.7846617,0.7848535,0.011849675317164667,0.768093,4.6015625,2736.16,0.9742999999999999,10,1.5101635924328494
ijk,6,"static,1",0.8021423000000001,0.8156945,0.0384975591146879,0.735854,4.6625,2633.3450000000003,0.9734,10,4.799342849103943
ijk,6,"static,16",0.858286,0.874569,0.04018939862147176,0.795749,4.8796875,2455.48,0.9497,10,4.682518253993629
ijk,6,"static,padrão",0.8381196,0.838417,0.026739775051825346,0.780309,4.7734375,2561.365,0.95615,10,3.1904486008709676
ijk,12,"dynamic,1",0.4487355,0.4496025,0.03720189502715033,0.401962,4.540625,4776.425,0.84995,10,8.290383762182918
ijk,12,"dynamic,16",0.45756119999999995,0.458611,0.012127131682489665,0.439554,4.5875,4682.675,0.84365,10,2.6503846223171164
ijk,12,"dynamic,64",0.6295109,0.6134645000000001,0.041102370435697914,0.585401,4.3953125,3500.585,0.6003000000000001,10,6.529254765199127
ijk,12,"guided,16",0.47462780000000004,0.454051,0.05545617221594405,0.433486,4.4125,4730.845,0.7988500000000001,10,11.684139069802495
ijk,12,"guided,padrão",0.43706459999999997,0.417537,0.05160752267773888,0.386934,4.2921875,5143.37,0.8347,10,11.807756262515628
ijk,12,"static,1",0.44219210000000003,0.446869,0.02491972289595353,0.403408,4.3796875,4805.695,0.8372999999999999,10,5.635497082818423
ijk,12,"static,16",0.49241229999999997,0.4910555,0.03336728946155366,0.452911,4.453125,4373.49,0.7626,10,6.77629081595924
ijk,12,"static,padrão",0.5106763,0.494361,0.047700348351977485,0.437409,4.446875,4343.965,0.74185,10,9.34062308197531
ikj,6,"dynamic,1",0.061128800000000004,0.0617355,0.003425757719914756,0.056344,0.35625,34788.315,0.97595,10,5.604163209346095
ikj,6,"dynamic,16",0.041865400000000004,0.041759500000000005,0.005683596517855378,0.034762,0.2359375,51425.350000000006,0.9065000000000001,10,13.575880125008664
ikj,6,"dynamic,64",0.053186199999999996,0.051206,0.014809215050096346,0.034959,0.26875,42246.64,0.82205,10,27.844093110800074
ikj,6,"guided,16",0.045762000000000004,0.046286,0.005089452470005437,0.036312,0.2609375,46461.729999999996,1.0141499999999999,10,11.121569140346654
ikj,6,"guided,padrão",0.042366100000000004,0.0411275,0.004530280846089396,0.036655,0.259375,52215.12,1.0074999999999998,10,10.693174132359115
ikj,6,"static,1",0.0627766,0.064695,0.009281792561545182,0.045646,0.3328125,33202.24,0.8615999999999999,10,14.785433683164081
ikj,6,"static,16",0.0532837,0.053456500000000004,0.012612763641556826,0.035884,0.2734375,40185.04,0.89425,10,23.670960615641977
ikj,6,"static,padrão",0.0492294,0.047794500000000004,0.007384128131788251,0.037464,0.2546875,44941.86,0.83065,10,14.999427439270537
ikj,12,"dynamic,1",0.054571400000000006,0.054936,0.0010393150736048345,0.052267,0.571875,39090.655,0.85335,10,1.904505058702607
ikj,12,"dynamic,16",0.042728699999999994,0.0421675,0.002081652017562546,0.040435,0.4015625,50936.22,0.76975,10,4.871788791988865
ikj,12,"dynamic,64",0.0441836,0.04364,0.0031680121071598058,0.040595,0.365625,49213.78,0.6867000000000001,10,7.1701086085330425
ikj,12,"guided,16",0.0435029,0.041244,0.006891887927927378,0.03676,0.3859375,52067.415,0.73325,10,15.842364366346562
ikj,12,"guided,padrão",0.0400977,0.039835499999999996,0.0023043628210659677,0.03767,0.353125,53909.405,0.7343,10,5.746870321903669
ikj,12,"static,1",0.0484742,0.0473605,0.0032920515319309466,0.045345,0.490625,45368.87,0.85855,10,6.791347834375702
ikj,12,"static,16",0.0415826,0.040746,0.0027540666174465226,0.038353,0.3890625,52741.04,0.7515000000000001,10,6.6231226942195125
ikj,12,"static,padrão",0.042764399999999994,0.042565,0.0032105075818837947,0.038754,0.415625,50455.55,0.7787,10,7.507430437194945
